Name,N,V,S
S001_128.mat,2119,207,277
S002_128.mat,2161,3,185
S003_128.mat,1886,5,41
S004_128.mat,1664,44,51
S005_128.mat,2352,210,125
S006_128.mat,2166,3,8
S007_128.mat,2786,75,136
S008_128.mat,2211,53,80
S009_128.mat,2213,7,196
S010_128.mat,2476,0,382
S011_128.mat,1504,54,399
S012_128.mat,1583,85,0
S013_128.mat,1647,0,59
S014_128.mat,2484,343,53
S015_128.mat,2136,23,26
S016_128.mat,2173,267,66
S017_128.mat,2827,30,27
S018_128.mat,1895,74,9
S019_128.mat,2331,9,321
S020_128.mat,3006,464,69
S021_128.mat,2391,61,104
S022_128.mat,1773,8,12
S023_128.mat,1836,56,8
S024_128.mat,2647,37,21
S025_128.mat,2429,0,112
S026_128.mat,2480,36,614
S027_128.mat,1671,727,17
S028_128.mat,1623,43,15
S029_128.mat,2088,207,0
S030_128.mat,2167,426,32
S031_128.mat,2116,64,48
S032_128.mat,2078,6,74
S033_128.mat,4225,1,30
S034_128.mat,1755,70,14
S035_128.mat,1743,8,20
S036_128.mat,2560,240,321
S037_128.mat,1828,0,7
S038_128.mat,2810,28,12
S039_128.mat,2003,0,135
S040_128.mat,1107,234,1818
S041_128.mat,2650,0,145
S042_128.mat,2578,0,80
S043_128.mat,1784,437,454
S044_128.mat,1921,144,0
S045_128.mat,2187,338,0
S046_128.mat,2167,27,26
S047_128.mat,1597,256,55
S048_128.mat,1740,577,523
S049_128.mat,1505,22,631
S050_128.mat,2338,1,44
S051_128.mat,2049,447,167
S052_128.mat,2400,144,37
S053_128.mat,1469,542,48
S054_128.mat,1464,91,151
S055_128.mat,1658,0,20
S056_128.mat,1841,0,18
S057_128.mat,1838,1,196
S058_128.mat,3102,141,241
S059_128.mat,2187,41,9
S060_128.mat,1910,0,29
S061_128.mat,1843,7,30
S062_128.mat,2650,181,0
S079_250.mat,3206,1,0
S080_250.mat,2166,0,2
S081_250.mat,2189,0,2
S082_250.mat,2238,74,2
S083_250.mat,2394,1,0
S084_250.mat,2072,0,1
S085_250.mat,2025,0,0
S086_250.mat,1885,0,281
S087_250.mat,2303,2,63
S088_250.mat,2872,0,85
S089_250.mat,2190,2,0
S090_250.mat,1980,0,2
S091_250.mat,1783,48,0
S092_250.mat,1878,0,0
S093_250.mat,2446,0,2
S094_250.mat,2760,1,0
S095_250.mat,2556,0,0
S096_250.mat,2114,0,0
S097_250.mat,2083,3,2
S098_250.mat,1863,3,1
S099_250.mat,2357,1,0
S100_250.mat,2504,1,0
S101_250.mat,2400,12,0
S102_250.mat,2617,6,414
S103_250.mat,2555,10,0
S104_250.mat,2914,0,0
S105_250.mat,2409,0,0
S106_250.mat,2323,104,1
S107_250.mat,591,0,0
S108_250.mat,1847,0,0
S109_250.mat,1575,0,2
S110_250.mat,3509,0,0
S111_250.mat,1938,0,0
S112_250.mat,2261,0,1
S113_250.mat,2580,5,0
S114_250.mat,1848,3,0
S115_250.mat,2298,0,0
S116_250.mat,1869,1,0
S117_250.mat,2111,107,0
S118_250.mat,2407,4,2
S119_250.mat,2566,0,0
S120_250.mat,1890,0,0
S121_250.mat,2729,0,0
